epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1174.04,0.84972,3.43266,1.18711,0.24095,0.50035,0.26851,0.20339,0.81095,3.58266,1.19036,0.00017454,0.00017454,0.00017454
2,2348.54,0.76448,2.52216,1.10014,0.31751,0.55046,0.37857,0.30298,0.79481,2.70558,1.13404,0.000342946,0.000342946,0.000342946
3,3517.61,0.75872,2.18433,1.09085,0.41862,0.60256,0.48394,0.39317,0.74873,2.27034,1.10112,0.000504408,0.000504408,0.000504408
4,4687.04,0.73458,1.89561,1.06717,0.55562,0.5934,0.60213,0.45909,0.77124,1.90964,1.11713,0.000494756,0.000494756,0.000494756
5,5860.72,0.71659,1.5952,1.06123,0.80375,0.64071,0.76111,0.63925,0.71689,1.37264,1.06302,0.000484341,0.000484341,0.000484341
6,7034.87,0.69583,1.40256,1.04674,0.7334,0.72027,0.78347,0.64955,0.70534,1.16298,1.04508,0.000473926,0.000473926,0.000473926
7,8208.92,0.6778,1.28863,1.03206,0.86754,0.72804,0.83731,0.69749,0.6756,0.97091,1.0304,0.000463511,0.000463511,0.000463511
8,9381.66,0.66838,1.21754,1.0307,0.82023,0.71994,0.81529,0.69037,0.65084,0.9695,1.01331,0.000453096,0.000453096,0.000453096
9,10575.5,0.65971,1.1219,1.02,0.89623,0.78913,0.86666,0.73621,0.65162,0.80088,1.00505,0.000442682,0.000442682,0.000442682
10,11749,0.65135,1.06453,1.01957,0.9138,0.79637,0.89024,0.74892,0.64865,0.74106,1.00424,0.000432267,0.000432267,0.000432267
11,12933.9,0.65134,0.97453,1.01657,0.90688,0.78529,0.88188,0.74643,0.63073,0.70681,1.0002,0.000421852,0.000421852,0.000421852
12,14110.6,0.63784,0.95865,1.01563,0.88973,0.79995,0.8852,0.74029,0.65653,0.69388,1.0155,0.000411437,0.000411437,0.000411437
13,15284.9,0.62328,0.92678,1.0092,0.91416,0.8107,0.89909,0.76141,0.64008,0.65494,0.99503,0.000401022,0.000401022,0.000401022
14,16458.6,0.62703,0.91525,1.00452,0.93256,0.8271,0.91726,0.78131,0.61173,0.59843,0.97663,0.000390608,0.000390608,0.000390608
15,17627.7,0.61804,0.8777,1.00095,0.90827,0.82472,0.9074,0.77007,0.61875,0.61104,0.97949,0.000380193,0.000380193,0.000380193
16,18787.7,0.61319,0.85514,0.99079,0.91509,0.8408,0.91185,0.77893,0.62377,0.57647,0.97969,0.000369778,0.000369778,0.000369778
17,19951.7,0.60882,0.81294,0.99303,0.94773,0.83584,0.92203,0.78348,0.62195,0.54237,0.98394,0.000359363,0.000359363,0.000359363
18,21123.3,0.60484,0.81724,0.99811,0.93548,0.84662,0.92869,0.78396,0.61561,0.52843,0.97731,0.000348948,0.000348948,0.000348948
19,22286.6,0.58817,0.79226,0.98892,0.94918,0.84177,0.93279,0.78791,0.61063,0.51955,0.96805,0.000338534,0.000338534,0.000338534
20,23452.1,0.58613,0.76383,0.98699,0.95777,0.8474,0.93702,0.79536,0.60864,0.4915,0.97347,0.000328119,0.000328119,0.000328119
21,24629.5,0.58825,0.75642,0.98161,0.91679,0.85914,0.93095,0.79239,0.61432,0.49885,0.97398,0.000317704,0.000317704,0.000317704
22,25801,0.58282,0.73124,0.98094,0.93171,0.86767,0.93653,0.79402,0.59179,0.47094,0.963,0.000307289,0.000307289,0.000307289
23,26968.8,0.58258,0.71558,0.98228,0.93932,0.86089,0.93442,0.79891,0.60734,0.47812,0.96416,0.000296874,0.000296874,0.000296874
24,28140.9,0.57621,0.70804,0.98202,0.96118,0.86983,0.94505,0.80601,0.59263,0.44878,0.95705,0.00028646,0.00028646,0.00028646
25,29311.2,0.57129,0.70177,0.9728,0.94176,0.88177,0.94805,0.80979,0.58601,0.44533,0.9553,0.000276045,0.000276045,0.000276045
26,30482.3,0.56979,0.68295,0.97273,0.94055,0.88413,0.94787,0.80617,0.58935,0.43162,0.95339,0.00026563,0.00026563,0.00026563
27,31655.2,0.55946,0.67248,0.97158,0.95273,0.87346,0.95085,0.8105,0.59807,0.4319,0.95939,0.000255215,0.000255215,0.000255215
28,32826.6,0.56064,0.66255,0.96892,0.9156,0.8927,0.95201,0.80773,0.59114,0.42291,0.95512,0.0002448,0.0002448,0.0002448
